date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:40	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-59b8214033f72%22	http://192.168.1.188/robots.txt		(from )
22:21:41	6594/6594	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202020%2021:21:44%20GMT	http://192.168.1.188/	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/index.html	(from )
22:21:41	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-59b8222d39983%22	http://192.168.1.188/argon/img/brand/favicon.png	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/img/brand/favicon.png	(from http://192.168.1.188/)
22:21:41	9015/9015	---M--	200	added ('OK')	text/css	etag:%222337-59b82231dc1e8%22	http://192.168.1.188/argon/vendor/nucleo/css/nucleo.css	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/nucleo/css/nucleo.css	(from http://192.168.1.188/)
22:21:41	48649/48649	---M--	200	added ('OK')	text/css	etag:%22be09-59b8222d47f5e%22	http://192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from http://192.168.1.188/)
22:21:43	349213/349213	---M--	200	added ('OK')	text/css	etag:%225541d-5a60a57822349%22	http://192.168.1.188/argon/css/argon.css?v=1.0.0	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/css/argone209.css	(from http://192.168.1.188/)
22:21:44	350/350	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Sep%202020%2021:21:47%20GMT	http://192.168.1.188/home	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/home	(from http://192.168.1.188/)
22:21:45	10108/10108	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202020%2021:21:48%20GMT	http://192.168.1.188/login	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/login.html	(from http://192.168.1.188/)
22:21:45	7714/7714	---M--	200	added ('OK')	image/png	etag:%221e22-59b8222d39d69%22	http://192.168.1.188/argon/img/brand/white.png	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/img/brand/white.png	(from http://192.168.1.188/)
22:21:45	7883/7883	---M--	200	added ('OK')	image/png	etag:%221ecb-59b8222d3959e%22	http://192.168.1.188/argon/img/brand/blue.png	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/argon/img/brand/blue.png	(from http://192.168.1.188/)
22:21:46	11705/11705	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202020%2021:21:49%20GMT	http://192.168.1.188/register	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/register.html	(from http://192.168.1.188/)
22:21:46	350/350	---M--	302	error ('Found')	text/html	date:Fri,%2011%20Sep%202020%2021:21:50%20GMT	http://192.168.1.188/profile	C:/Users/gabri/Desktop/projetos/Altismo%20home%20page/home%20altismo/192.168.1.188/profile	(from http://192.168.1.188/)
